victim_count,injury_type,incident_description,severity
3,overdose,unconscious overdose shallow breathing lips blue in office child involved,CRITICAL
3,minor burn,small burn on finger no blister crowd gathering,LOW
5,minor cut,small cut mild bleeding patient alert on main road in office at home,LOW
1,fever,high temperature but breathing normally alert please hurry on main road at home,LOW
2,bleeding,bleeding heavily large blood loss pressure not stopping on main road elderly patient near library,CRITICAL
2,overdose,unconscious overdose shallow breathing lips blue elderly patient please hurry at home,CRITICAL
1,head injury,dizzy after fall vomiting once conscious near library on main road crowd gathering,MEDIUM
2,stroke,face drooping cannot speak arm weakness sudden collapse at home near library,CRITICAL
3,fever,high temperature but breathing normally alert needs help on main road,LOW
1,fracture,possible broken leg severe pain swelling cannot walk child involved during sports event in office,MEDIUM
4,burns,severe burns face smoke inhalation difficulty breathing in office,CRITICAL
1,bleeding,moderate bleeding cut deep but conscious please hurry on main road crowd gathering,MEDIUM
2,accident,bike crash conscious shoulder pain on main road during sports event elderly patient,MEDIUM
4,bleeding,bleeding heavily large blood loss pressure not stopping near library needs help,CRITICAL
1,fracture,possible broken leg severe pain swelling cannot walk elderly patient,MEDIUM
3,panic,panic attack anxious breathing fast but conscious at home child involved,LOW
3,burns,second degree burn painful blisters on arm in office,MEDIUM
1,burns,second degree burn painful blisters on arm near library,MEDIUM
1,overdose,unconscious overdose shallow breathing lips blue needs help at home near library,CRITICAL
4,burns,severe burns face smoke inhalation difficulty breathing child involved,CRITICAL
2,asthma,breathing difficulty wheezing inhaler not helping needs help child involved,MEDIUM
1,accident,road accident multiple victims trapped unconscious severe trauma crowd gathering child involved,CRITICAL
2,stroke,face drooping cannot speak arm weakness sudden collapse elderly patient,CRITICAL
5,burns,severe burns face smoke inhalation difficulty breathing at home during sports event elderly patient,CRITICAL
1,burns,second degree burn painful blisters on arm crowd gathering elderly patient,MEDIUM
1,stroke,face drooping cannot speak arm weakness sudden collapse during sports event,CRITICAL
1,sprain,ankle sprain mild swelling can walk please hurry on main road,LOW
5,fever,high temperature but breathing normally alert near library crowd gathering needs help,LOW
1,asthma,breathing difficulty wheezing inhaler not helping on main road elderly patient,MEDIUM
1,minor burn,small burn on finger no blister in office please hurry,LOW
2,bleeding,moderate bleeding cut deep but conscious in office child involved,MEDIUM
1,minor burn,small burn on finger no blister needs help,LOW
1,fall,slipped and fell mild pain no visible injury elderly patient,LOW
4,accident,road accident multiple victims trapped unconscious severe trauma in office on main road crowd gathering,CRITICAL
2,asthma,breathing difficulty wheezing inhaler not helping near library elderly patient in office,MEDIUM
2,head injury,dizzy after fall vomiting once conscious please hurry at home,MEDIUM
1,minor burn,small burn on finger no blister on main road,LOW
5,burns,second degree burn painful blisters on arm needs help in office near library,MEDIUM
1,burns,severe burns face smoke inhalation difficulty breathing please hurry,CRITICAL
4,bleeding,bleeding heavily large blood loss pressure not stopping in office during sports event child involved,CRITICAL
1,head injury,dizzy after fall vomiting once conscious child involved on main road near library,MEDIUM
1,panic,panic attack anxious breathing fast but conscious on main road please hurry,LOW
2,fracture,possible broken leg severe pain swelling cannot walk at home crowd gathering,MEDIUM
3,sprain,ankle sprain mild swelling can walk child involved,LOW
3,asthma,breathing difficulty wheezing inhaler not helping in office crowd gathering on main road,MEDIUM
1,stroke,face drooping cannot speak arm weakness sudden collapse in office,CRITICAL
2,minor burn,small burn on finger no blister child involved,LOW
3,cardiac arrest,person unconscious not breathing chest pain collapsed in office elderly patient child involved,CRITICAL
1,fever,high temperature but breathing normally alert in office near library needs help,LOW
5,cardiac arrest,person unconscious not breathing chest pain collapsed at home child involved needs help,CRITICAL
1,burns,second degree burn painful blisters on arm crowd gathering please hurry in office,MEDIUM
1,minor cut,small cut mild bleeding patient alert in office on main road needs help,LOW
5,sprain,ankle sprain mild swelling can walk near library,LOW
2,bleeding,moderate bleeding cut deep but conscious child involved please hurry,MEDIUM
1,cardiac arrest,person unconscious not breathing chest pain collapsed in office,CRITICAL
1,minor burn,small burn on finger no blister elderly patient during sports event,LOW
1,minor burn,small burn on finger no blister elderly patient,LOW
1,minor burn,small burn on finger no blister child involved,LOW
4,panic,panic attack anxious breathing fast but conscious at home during sports event,LOW
1,sprain,ankle sprain mild swelling can walk crowd gathering at home in office,LOW
1,head injury,dizzy after fall vomiting once conscious elderly patient,MEDIUM
3,sprain,ankle sprain mild swelling can walk near library please hurry,LOW
1,burns,second degree burn painful blisters on arm please hurry on main road at home,MEDIUM
2,minor burn,small burn on finger no blister crowd gathering please hurry during sports event,LOW
4,burns,severe burns face smoke inhalation difficulty breathing child involved during sports event,CRITICAL
5,stroke,face drooping cannot speak arm weakness sudden collapse at home near library in office,CRITICAL
1,bleeding,bleeding heavily large blood loss pressure not stopping in office near library child involved,CRITICAL
1,burns,second degree burn painful blisters on arm in office needs help,MEDIUM
5,burns,second degree burn painful blisters on arm during sports event,MEDIUM
1,minor cut,small cut mild bleeding patient alert please hurry,LOW
1,sprain,ankle sprain mild swelling can walk child involved please hurry crowd gathering,LOW
3,bleeding,moderate bleeding cut deep but conscious near library,MEDIUM
1,sprain,ankle sprain mild swelling can walk child involved at home,LOW
1,bleeding,moderate bleeding cut deep but conscious child involved please hurry,MEDIUM
1,asthma,breathing difficulty wheezing inhaler not helping on main road elderly patient,MEDIUM
3,burns,second degree burn painful blisters on arm on main road near library,MEDIUM
2,fracture,possible broken leg severe pain swelling cannot walk please hurry needs help during sports event,MEDIUM
1,head injury,dizzy after fall vomiting once conscious please hurry child involved at home,MEDIUM
1,fracture,possible broken leg severe pain swelling cannot walk on main road needs help please hurry,MEDIUM
1,panic,panic attack anxious breathing fast but conscious needs help near library,LOW
1,fracture,possible broken leg severe pain swelling cannot walk child involved during sports event,MEDIUM
8,stroke,face drooping cannot speak arm weakness sudden collapse elderly patient,CRITICAL
5,asthma,breathing difficulty wheezing inhaler not helping in office during sports event,MEDIUM
1,fall,slipped and fell mild pain no visible injury at home crowd gathering,LOW
1,panic,panic attack anxious breathing fast but conscious in office,LOW
4,asthma,breathing difficulty wheezing inhaler not helping please hurry elderly patient in office,MEDIUM
3,cardiac arrest,person unconscious not breathing chest pain collapsed in office,CRITICAL
1,panic,panic attack anxious breathing fast but conscious at home crowd gathering,LOW
1,fever,high temperature but breathing normally alert in office,LOW
